doc_id,doc_path,doc_section,claim_type,claim_text,code_artifact_type,code_path,code_anchor,status,severity,notes
"DOC12-CRON-01","docs/12_PERIODIC_CRAWLING_SPEC.md","5.1 Frequency Matrix","schedule","YouTube outlier crawl every 6 hours at 00/06/12/18 KST.","cron","backend/scripts/crontab.example","YouTube Outliers entry","match","","Doc notes KST assumption; crontab.example provides UTC-adjusted entries."
"DOC12-CRON-02","docs/12_PERIODIC_CRAWLING_SPEC.md","5.1 Frequency Matrix","schedule","TikTok outlier crawl every 4 hours at 00/04/08/12/16/20 KST.","cron","backend/scripts/crontab.example","TikTok Outliers entry","match","","Doc notes KST assumption; crontab.example provides UTC-adjusted entries."
"DOC12-CRON-03","docs/12_PERIODIC_CRAWLING_SPEC.md","5.1 Frequency Matrix","schedule","Instagram outlier crawl every 12 hours at 06/18 KST.","cron","backend/scripts/crontab.example","Instagram Outliers entry","match","","Doc notes KST assumption; crontab.example provides UTC-adjusted entries."
"DOC12-CRON-04","docs/12_PERIODIC_CRAWLING_SPEC.md","5.1 Frequency Matrix","schedule","Platform updates run daily at 09:00 KST.","cron","backend/scripts/crontab.example","Platform Updates entry","match","","Doc notes KST assumption; crontab.example provides UTC-adjusted entries."
"DOC12-CRON-05","docs/12_PERIODIC_CRAWLING_SPEC.md","5.1 Frequency Matrix","schedule","Evidence loop trigger runs daily at 10:00 KST.","cron","backend/scripts/crontab.example","Evidence Loop entry","match","","Scheduled as 0 1 UTC (10:00 KST) in crontab.example."
"DOC12-CRON-06","docs/12_PERIODIC_CRAWLING_SPEC.md","5.2 Cron Expressions","entrypoint","Cron uses python scripts/run_scheduled_crawl.py for outlier crawlers and platform updates.","cron","backend/scripts/crontab.example","Outlier and updates entries","match","","Cron expressions reference scripts/run_scheduled_crawl.py."
"DOC12-DEPLOY-01","docs/12_PERIODIC_CRAWLING_SPEC.md","11.1 Docker Configuration","entrypoint","Dockerfile.crawler runs python scripts/run_scheduled_crawl.py.","script","backend/scripts/run_scheduled_crawl.py","n/a","match","","Doc example uses existing scheduled crawl entrypoint."
"DOC12-ENV-01","docs/12_PERIODIC_CRAWLING_SPEC.md","10. Environment Variables","config","Env vars YOUTUBE_MIN_VIEWS, TIKTOK_MIN_VIEWS, INSTAGRAM_MIN_VIEWS, OUTLIER_MULTIPLIER_THRESHOLD are planned (not yet wired into crawlers).","env","backend/app","n/a","match","","Docs now mark thresholds as planned."
"DOC25-COMMENT-01","docs/25_TIKTOK_COMMENT_EXTRACTION.md","CommentExtractor","logic","TikTok auto mode order: comment_list API -> Playwright DOM -> yt-dlp.","service","backend/app/services/comment_extractor.py","CommentExtractor.extract_best_comments","match","",""
"DOC25-COMMENT-02","docs/25_TIKTOK_COMMENT_EXTRACTION.md","Env Vars","config","TIKTOK_MAX_COMMENTS/TIKTOK_TIMEOUT_MS/TIKTOK_MAX_RETRIES/TIKTOK_PROXY/TIKTOK_COOKIE_FILE/TIKTOK_COMMENTS_PROVIDER are supported.","env","backend/app/services/comment_extractor.py","CommentExtractor.__init__ and helpers","match","",""
"DOC25-COMMENT-03","docs/25_TIKTOK_COMMENT_EXTRACTION.md","TikTokUnifiedExtractor","logic","Unified extractor tries UNIVERSAL_DATA JSON comments, then DOM, then dedicated extractor.","service","backend/app/services/tiktok_extractor.py","TikTokUnifiedExtractor.extract","match","",""
"DOC25-SVC-01","docs/25_TIKTOK_COMMENT_EXTRACTION.md","Standalone Service","endpoint","Standalone service exposes POST /extract and POST /metadata.","api","backend/tiktok_standalone.py","FastAPI routes","match","",""
"DOC25-USAGE-01","docs/25_TIKTOK_COMMENT_EXTRACTION.md","Pipeline Usage","callsite","Outliers/remix call extract_best_comments(limit=10).","callsite","backend/app/routers/outliers.py","comment extraction block","match","",""
"DOCMOBILE-WS-01","docs/MOBILE_INTEGRATION_GUIDE.md","2. WebSocket Connection","endpoint","WebSocket URL is wss://<host>/api/v1/ws/coaching/{session_id}.","websocket","backend/app/routers/coaching_ws.py","@router.websocket('/ws/coaching/{session_id}')","match","","Docs updated to /api/v1/ws/coaching/{session_id}."
"DOCMOBILE-WS-02","docs/MOBILE_INTEGRATION_GUIDE.md","2. WebSocket Connection","params","Query params output_mode/persona/language/voice_style are optional.","websocket","backend/app/routers/coaching_ws.py","coaching_websocket signature","match","","Docs align with optional params and defaults."
"DOCMOBILE-WS-03","docs/MOBILE_INTEGRATION_GUIDE.md","3. Phase 1 Personas","enum","Personas are drill_sergeant, bestie, chill_guide, hype_coach (default chill_guide).","websocket","backend/app/routers/coaching_ws.py","coaching_websocket signature","match","","Backend accepts persona aliases; default calm_mentor maps to chill_guide."
"DOCMOBILE-WS-04","docs/MOBILE_INTEGRATION_GUIDE.md","8. Message Types","message","Server sends feedback as feedback message type.","websocket","backend/app/routers/coaching_ws.py","send_json type 'feedback'","match","","Docs updated to feedback."
"DOCMOBILE-WS-05","docs/MOBILE_INTEGRATION_GUIDE.md","8. Message Types","message","Server sends session_status/graphic_guide/text_coach/audio_feedback/vdg_coaching_data/adaptive_response/signal_promotion/rule_update/pong/error.","websocket","backend/app/routers/coaching_ws.py","message handlers and send_json calls","match","",""
"DOC08-OPS-01","docs/08_OPERATIONS_RUNBOOK.md","2.6 Manual comment review","endpoint","GET /api/v1/outliers/items/pending-comments lists comment-review queue.","api","backend/app/routers/outliers.py","@router.get('/items/pending-comments')","match","",""
"DOC08-OPS-02","docs/08_OPERATIONS_RUNBOOK.md","2.6 Manual comment review","endpoint","PATCH /api/v1/outliers/items/{id}/comments records manual comments.","api","backend/app/routers/outliers.py","@router.patch('/items/{item_id}/comments')","match","",""
"DOC08-OPS-03","docs/08_OPERATIONS_RUNBOOK.md","2.6 Manual comment review","endpoint","POST /api/v1/outliers/items/{id}/approve triggers VDG analysis.","api","backend/app/routers/outliers.py","@router.post('/items/{item_id}/approve')","match","",""
"DOC08-OPS-04","docs/08_OPERATIONS_RUNBOOK.md","4.5 Promotion workflow","endpoint","GET /api/v1/outliers/items?campaign_eligible=true lists campaign candidates.","api","backend/app/routers/outliers.py","list_outliers()","match","","campaign_eligible filter added to list_outliers."
"DOC08-OPS-05","docs/08_OPERATIONS_RUNBOOK.md","2.5 TikTok cookie refresh","script","export_tiktok_cookies.py is the refresh script.","script","backend/scripts/export_tiktok_cookies.py","n/a","match","",""
"DOC08-OPS-06","docs/08_OPERATIONS_RUNBOOK.md","1) Daily checklist","script","sync_outliers_to_sheet.py is used for DB -> Sheet sync.","script","backend/scripts/sync_outliers_to_sheet.py","n/a","match","",""
"DOC06-COMMENT-01","docs/06_PIPELINE_PLAYBOOK.md","2.1 Comment Evidence Standard","logic","Comment extraction priority: YouTube API -> yt-dlp, TikTok comment_list -> Playwright -> yt-dlp, Instagram yt-dlp.","service","backend/app/services/comment_extractor.py","CommentExtractor.extract_best_comments","match","",""
"DOC06-COMMENT-02","docs/06_PIPELINE_PLAYBOOK.md","2.1 Comment Evidence Standard","logic","Language priority: ko > en > others.","service","backend/app/services/comment_extractor.py","_prioritize_by_language","match","",""
"DOC06-COMMENT-03","docs/06_PIPELINE_PLAYBOOK.md","2.1 Comment Evidence Standard","logic","comments_missing_reason is recorded on failures.","model","backend/app/models.py","OutlierItem.comments_missing_reason","match","",""
"DOC06-COMMENT-04","docs/06_PIPELINE_PLAYBOOK.md","2.1 Comment Evidence Standard","logic","Comment tagging is optional/manual and not persisted in the current pipeline (planned).","service","backend/app/services","n/a","match","","Docs updated to mark tagging as planned."
"DOC06-PACK-01","docs/06_PIPELINE_PLAYBOOK.md","5.2 Pack file composition","artifact","Source Pack is a Google Sheet/CSV with section/key/value/entry_idx (includes best_comments_json when present).","script","backend/scripts/build_notebook_source_pack.py","n/a","match","","Docs updated to reflect sheet/CSV output."
"DOC06-PACK-02","docs/06_PIPELINE_PLAYBOOK.md","5.3 Pack command","cli","build_notebook_source_pack uses default output (Sheet) with optional --local CSV fallback.","script","backend/scripts/build_notebook_source_pack.py","argparse","match","","Docs updated to remove --output-dir."
"DOC06-NLM-01","docs/06_PIPELINE_PLAYBOOK.md","6.2 Automation scripts","script","NotebookLM automation scripts are planned (not yet in repo).","script","backend/scripts","n/a","match","","Docs updated to mark scripts as planned."
"DOC06-RUN-01","docs/06_PIPELINE_PLAYBOOK.md","4) NotebookLM/Opal principles","contract","RunManager-applied pipelines record run_id/inputs_hash/idempotency_key (not enforced for all entrypoints).","model","backend/app/models.py","Run model + run_manager","match","","Docs updated to reflect partial enforcement."
"DOC06-SCRIPTS-01","docs/06_PIPELINE_PLAYBOOK.md","2) Minimal loop commands","script","run_selector.py/run_real_evidence_loop.py/run_provider_pipeline.py exist.","script","backend/scripts","n/a","match","",""
"DOC13-API-01","docs/13_OUTLIER_CRAWLER_INTEGRATION_DESIGN.md","API endpoints","endpoint","GET /api/v1/outliers lists outliers with filters.","api","backend/app/routers/outliers.py","@router.get('/')","match","",""
"DOC13-API-02","docs/13_OUTLIER_CRAWLER_INTEGRATION_DESIGN.md","API endpoints","endpoint","GET /api/v1/outliers/items/{id} and POST /api/v1/outliers/items/{id}/promote are available.","api","backend/app/routers/outliers.py","@router.get('/items/{item_id}') / @router.post('/items/{item_id}/promote')","match","","Docs updated to /items/{id} paths."
"DOC13-API-03","docs/13_OUTLIER_CRAWLER_INTEGRATION_DESIGN.md","API endpoints","endpoint","POST /api/v1/crawlers/run and GET /api/v1/crawlers/status exist.","api","backend/app/routers/crawlers.py","@router.post('/run') / @router.get('/status')","match","",""
"DOC13-DB-01","docs/13_OUTLIER_CRAWLER_INTEGRATION_DESIGN.md","DB schema","schema","outlier_items.video_url is unique and indexed.","model","backend/app/models.py","OutlierItem.video_url","match","",""
"DOC13-NODE-01","docs/13_OUTLIER_CRAWLER_INTEGRATION_DESIGN.md","Canvas integration","ui","crawlerOutlier node type is registered in Canvas.","ui","frontend/src/app/ops/canvas/page.tsx","nodeTypes map","match","",""
"DOC13-NOTIFY-01","docs/13_OUTLIER_CRAWLER_INTEGRATION_DESIGN.md","Roadmap checklist","feature","Notify on new S-tier outliers.","service","backend/app/services/notification_service.py","notify_s_tier_outlier + crawlers router","match","",""
"DOC13-CHECK-01","docs/13_OUTLIER_CRAWLER_INTEGRATION_DESIGN.md","Roadmap checklist","status","REST API endpoints for outliers are implemented.","api","backend/app/routers/outliers.py","outliers endpoints","match","","Doc checklist updated."
"DOC13-SCHED-01","docs/13_OUTLIER_CRAWLER_INTEGRATION_DESIGN.md","Roadmap checklist","status","Scheduled crawler runs have a cron example; deployment TBD.","cron","backend/scripts/crontab.example","n/a","match","","Cron example exists; deployment marked TBD."
"DOC07-TYPES-01","docs/07_CANVAS_NODE_CONTRACTS.md","1) Node types","ui","CrawlerOutlier node exists.","ui","frontend/src/components/canvas/CustomNodes.tsx","CrawlerOutlierNode","match","",""
"DOC07-TYPES-02","docs/07_CANVAS_NODE_CONTRACTS.md","1) Node types","ui","Pattern Answer Node (For You) is planned (not in current build).","ui","frontend/src/components/canvas","n/a","match","","Docs updated to mark node as planned."
"DOC07-TYPES-03","docs/07_CANVAS_NODE_CONTRACTS.md","1) Node types","ui","O2O Node is planned (not in current build).","ui","frontend/src/components/canvas","n/a","match","","Docs updated to mark node as planned."
"DOC07-TYPES-04","docs/07_CANVAS_NODE_CONTRACTS.md","1) Node types","ui","Parent Node (MASTER) is represented as a locked Source Node, not a distinct node type.","ui","frontend/src/components/canvas/CustomNodes.tsx","SourceNode uses RemixNode + isLocked","match","","Docs updated to reflect representation."
"DOC07-CAPSULE-01","docs/07_CANVAS_NODE_CONTRACTS.md","2) Capsule Node contract","contract","CapsuleDefinition uses inputs/outputs label arrays with params; GuideNode payload carries hook/shotlist/audio/scene/timing/do_not.","ui","frontend/src/components/canvas/CapsuleNode.tsx","CapsuleDefinition","match","","Docs updated to match CapsuleDefinition."
"DOC07-EVIDENCE-01","docs/07_CANVAS_NODE_CONTRACTS.md","3) Evidence/Decision UI rules","ui","Evidence node shows top 5 patterns + risks (best_comments/recurrence badges not shown).","ui","frontend/src/components/canvas/EvidenceNodes.tsx","EvidenceNode","match","","Docs updated to current UI."
"DOC07-DECISION-01","docs/07_CANVAS_NODE_CONTRACTS.md","3) Evidence/Decision UI rules","ui","Decision node shows 1-line conclusion + 3 reasons + next experiment.","ui","frontend/src/components/canvas/EvidenceNodes.tsx","DecisionNode","match","",""
"DOC01-VDG-01","docs/01_VDG_SYSTEM.md","3.1 VDGv4 Main Structure","schema","VDGv4 includes semantic/analysis_plan/visual/merger_quality/contract_candidates/evidence_items/distill_runs.","schema","backend/app/schemas/vdg_v4.py","class VDGv4","match","",""
"DOC01-METRIC-01","docs/01_VDG_SYSTEM.md","3.2 Metric Registry","schema","MetricDefinition schema lives in app/schemas/metric_registry.py.","schema","backend/app/schemas/metric_registry.py","class MetricDefinition","match","",""
"DOC01-DIRECTOR-01","docs/01_VDG_SYSTEM.md","3.3 Director Pack","schema","DirectorPack fields include pack_version/pattern_id/goal/dna_invariants/mutation_slots/forbidden_mutations/checkpoints/policy.","schema","backend/app/schemas/director_pack.py","DirectorPack","match","",""
"DOC01-COACH-01","docs/01_VDG_SYSTEM.md","Coaching System Phase 1-5+","enum","Personas are drill_sergeant/bestie/chill_guide/hype_coach (aliases: strict_pd/close_friend/calm_mentor/energetic).","websocket","backend/app/routers/coaching_ws.py","coaching_websocket signature","match","","Docs updated with persona aliases."
"DOC01-API-01","docs/01_VDG_SYSTEM.md","8.2 API Endpoints","endpoint","Coaching endpoints are /api/v1/coaching/sessions, /api/v1/coaching/sessions/{id}, /api/v1/coaching/sessions/{id}/feedback.","api","backend/app/routers/coaching.py","router prefix '/coaching'","match","","Docs updated with /api/v1 prefix."
"DOCNOTE-PACK-01","docs/NOTEBOOKLM_SPEC.md","4.1 Pack file composition","artifact","Source Pack is a Google Sheet/CSV with section/key/value/entry_idx (includes best_comments_json when present).","script","backend/scripts/build_notebook_source_pack.py","n/a","match","","Docs updated to reflect sheet/CSV output."
"DOCNOTE-COMMENT-01","docs/NOTEBOOKLM_SPEC.md","4.2 Comment Evidence rules","logic","Comment tagging is planned and NO_COMMENTS_AVAILABLE sentinel is not used (empty list on no comments).","service","backend/app/services/comment_extractor.py","n/a","match","","Docs updated to reflect current behavior."
"DOCNOTE-CMD-01","docs/NOTEBOOKLM_SPEC.md","4.3 Pack command","cli","build_notebook_source_pack uses default output (Sheet) with optional --local CSV fallback.","script","backend/scripts/build_notebook_source_pack.py","argparse","match","","Docs updated to remove --output-dir."
"DOCNOTE-SCRIPTS-01","docs/NOTEBOOKLM_SPEC.md","8) Enterprise API integration","script","NotebookLM automation scripts are planned (not yet in repo).","script","backend/scripts","n/a","match","","Docs updated to mark scripts as planned."
"DOCNOTE-DB-01","docs/NOTEBOOKLM_SPEC.md","8) Enterprise API integration","schema","notebooklm_registry table is planned (not yet implemented in DB).","model","backend/app/models.py","n/a","match","","Docs updated to mark registry as planned."
"DOC20-EMBED-01","docs/20_TIKTOK_EMBED_SPEC.md","2.4 Unmute + postMessage","ui","TikTok player uses player/v1 with postMessage unmute.","ui","frontend/src/components/outlier/TikTokPlayer.tsx","handleToggleMute + embedUrl","match","",""
"DOC20-EMBED-02","docs/20_TIKTOK_EMBED_SPEC.md","1) Embed choice","ui","Embed v2 is avoided in favor of player/v1.","ui","frontend/src/components/VirloVideoCard.tsx","PLATFORM_CONFIG.tiktok.embedUrl","match","","VirloVideoCard uses player/v1."
"DOC20-EMBED-03","docs/20_TIKTOK_EMBED_SPEC.md","Thumbnail proxy","ui","weserv.nl proxy is used for TikTok thumbnails.","ui","frontend/src/components/outlier/TikTokPlayer.tsx","getProxiedThumbnailUrl","match","",""
"DOC20-EMBED-04","docs/20_TIKTOK_EMBED_SPEC.md","URL extraction","logic","extractTikTokVideoId supports /video, /v, and numeric URL patterns.","ui","frontend/src/components/outlier/TikTokPlayer.tsx","extractVideoId","match","",""
"DOC20-EMBED-05","docs/20_TIKTOK_EMBED_SPEC.md","URL extraction","logic","Short URLs (vm.tiktok.com) are not resolved in the current frontend; pre-resolved URLs are required.","ui","frontend/src/components/outlier/TikTokPlayer.tsx","extractVideoId","match","","Docs updated to reflect current behavior."
"DOCARCH-WS-01","docs/ARCHITECTURE_FINAL.md","API Endpoints","endpoint","WebSocket endpoint is /api/v1/ws/coaching/{session_id}.","websocket","backend/app/routers/coaching_ws.py","@router.websocket('/ws/coaching/{session_id}')","match","","Docs updated to /api/v1/ws/coaching/{session_id}."
"DOCARCH-REST-01","docs/ARCHITECTURE_FINAL.md","REST API","endpoint","REST endpoints are /api/v1/coaching/sessions/*.","api","backend/app/routers/coaching.py","router prefix '/coaching'","match","","Docs updated with /api/v1 prefix."
"DOCARCH-REST-02","docs/ARCHITECTURE_FINAL.md","REST API","endpoint","POST /api/v1/coaching/sessions/{id}/end exists (alias).","api","backend/app/routers/coaching.py","end_session + end_session_alias","match","","Alias route added in backend."
"DOCARCH-REST-03","docs/ARCHITECTURE_FINAL.md","REST API","endpoint","GET /api/v1/outliers/items/{id} includes shooting_guide.","api","backend/app/routers/outliers.py","get_outlier_item","match","","Guide is embedded in item response."
"DOCARCH-WS-02","docs/ARCHITECTURE_FINAL.md","API Endpoints","message","WebSocket uses video_frame/frame_ack/pong message types.","websocket","backend/app/routers/coaching_ws.py","handle_video_frame + frame_ack","match","",""
"DOC11-NODE-01","docs/11_KOMISSION_STUDIO_SPEC.md","1. Executive Vision","ui","Visual Evidence Chain is planned; current build does not enforce chain/provenance rendering.","ui","frontend/src/app/ops/canvas/page.tsx","nodeTypes map","match","","Docs updated to mark as planned."
"DOC11-NODE-02","docs/11_KOMISSION_STUDIO_SPEC.md","2.1 Core Node Types","ui","Notebook Library node uses static summaries; DB wiring is planned.","ui","frontend/src/components/canvas/CustomNodes.tsx","NotebookNode","match","","Docs updated to reflect current behavior."
"DOC11-CAPSULE-01","docs/11_KOMISSION_STUDIO_SPEC.md","5) Phase 2","integration","Connect Capsule Processor Node to run_real_evidence_loop.py backend (planned, not implemented in current build).","ui","frontend/src/components/canvas/CapsuleNode.tsx","handleRun (mock)","match","","Doc now marks integration as planned."
"DOC11-STATUS-01","docs/11_KOMISSION_STUDIO_SPEC.md","5) Phase 2","ui","Capsule status streaming via WebSocket/Polling is planned (not implemented).","ui","frontend/src/components/canvas/CapsuleNode.tsx","localStatus","match","","Docs already mark as planned."
"DOC11-TOKEN-01","docs/11_KOMISSION_STUDIO_SPEC.md","3.3 Interaction","ui","Live Token Counter is planned (not implemented).","ui","frontend/src/components/canvas/CapsuleNode.tsx","n/a","match","","Docs updated to mark as planned."
"DOC11-CONN-01","docs/11_KOMISSION_STUDIO_SPEC.md","2.2 Connection Rules","ui","Connection rule enforcement is planned (not enforced in current build).","ui","frontend/src/app/ops/canvas/page.tsx","React Flow config","match","","Docs updated to mark enforcement as planned."
"DOC11-SEED-01","docs/11_KOMISSION_STUDIO_SPEC.md","2.1 Core Node Types","ui","Template Seed node exposes seed_id, template_type, hook, shotlist, audio, timing, parent_id, cluster_id.","ui","frontend/src/components/canvas/TemplateSeedNode.tsx","TemplateSeedNodeData","match","","Docs updated to reflect TemplateSeedNodeData."
